Modality,TP,TN,FP,FN
rs-fMRI,9.015978022,47.97802198,0,2.006
rs-fMRI,37.72,38.64,7.36,8.28
rs-fMRI,41,40,10,9
T-MRI,49.2,36.8,3.2,10.8
T-MRI,52.77818182,36.90181818,16.73454545,11.58545455
rs-fMRI,37.812,35.236,10.764,8.188
s-MRI,20.48228571,27.07771429,6.065142857,4.374857143
T-MRI,24.041,23.983,5.017,4.959
Other Modalities,37.72,38.54,2.46,3.28
rs-fMRI,429.525,434.7,82.8,87.975
rs-fMRI,33.2,30,10,6.8
s-MRI,21.34285714,30.85714286,3.428571429,4.371428571
EEG,25.74727273,23.27272727,5.818181818,5.161818182
rs-fMRI,101.507937,120.120063,50.02166929,20.35033071
rs-fMRI,464.816,420.336,135.664,91.184
Multimodal,99.33411765,22.02588235,44.71921569,18.92078431
Other Modalities,1139.233846,1120.146154,135.6230769,216.9969231
T-MRI,42,38,12,8
Eye Tracking,16.00332911,19.99367089,0,3.003
rs-fMRI,38.14287719,36.83712281,9.969894737,7.050105263
s-MRI,73.46469565,91.06330435,3.893217391,13.57878261
DWI/DTI,57.33620168,59.33079832,22.0557563,10.2772437
Multimodal,44.08842105,105.3915789,27.67859649,7.841403509
Other Modalities,19.975,23.359,0.141,3.525
Other Modalities,16.82460317,21.18739683,2.018952381,2.969047619
s-MRI,117.98,174.888,33.312,20.82
rs-fMRI,41.30649351,66.81350649,4.874805195,7.005194805
EEG,7.623104895,15.1048951,0,1.272
Other Modalities,12.18844444,15.55555556,2.222222222,2.033777778
rs-fMRI,42.1644,28.8456,11.9544,7.0356
EEG,167.2789474,4.721052632,0.542105263,27.45789474
s-MRI,25.92,78.12,11.88,4.08
Eye Tracking,30.81962963,32.15437037,6.216,4.81
Facial Recognition,1365.728,1362.592,205.408,202.272
rs-fMRI,43.065,43.56,5.94,6.435
rs-fMRI,26.1,27.9,2.1,3.9
s-MRI,40.89,218.55,16.45,6.11
Multimodal,13.968,13.776,2.224,2.032
Eye Tracking,58.254,58.121,8.379,8.246
rs-fMRI,51.04166667,39.99333333,6.673333333,7.291666667
rs-fMRI,22.89545455,21.95454545,1.909090909,3.240909091
rs-fMRI,40.388,40.296,5.704,5.612
rs-fMRI,40.388,40.296,5.704,5.612
s-MRI,27.00342857,140.8985714,7.415714286,3.682285714
rs-fMRI,60.0096,13.9944,2.8056,7.1904
Facial Recognition,1380.37875,1262.02125,114.22875,179.37125
EEG,8.01,7.992,1.008,0.99
Other Modalities,16.06029508,18.93770492,0.996721311,2.005278689
rs-fMRI,123.354,105.462,7.938,15.246
rs-fMRI,356.7535,358.3515,41.1485,42.7465
rs-fMRI,116.7415714,159.2914286,13.85142857,13.11557143
EEG,10.08,16.8,0,1.12
s-MRI,18.02,17.98,2.02,1.98
EEG,56.62714286,9.364857143,1.063714286,5.944285714
rs-fMRI,240.8085,240.2775,25.2225,24.6915
Facial Recognition,1332.944,1330.008,137.992,135.056
EEG,8.144751381,10.05524862,0,1.8
Eye Tracking,22.24444444,25.05555556,5.5,2.2
Other Modalities,41.47,9.57,2.858571429,4.101428571
rs-fMRI,137.4375758,179.7584242,25.21127273,13.59272727
rs-fMRI,1531.71,3378.69,527.31,142.29
DWI/DTI,35.13325301,21.68674699,0,3.18
rs-fMRI,20.043,26.775,5.367857143,1.814142857
Other Modalities,64.09333333,44.96666667,18.36666667,5.573333333
s-MRI,49.06666667,137.8133333,64.85333333,4.266666667
rs-fMRI,287.7866667,290.1333333,38.07179487,24.00820513
T-MRI,13.398,13.369,1.131,1.102
rs-fMRI,69,105.248,4.157405405,5.594594595
Eye Tracking,15.37655172,12.10344828,1.344827586,1.175172414
Eye Tracking,18.135,17.94,1.56,1.365
Multimodal,53.57608696,40.55191304,7.839391304,4.032608696
rs-fMRI,197.3925,62.9675,7.7825,14.8575
Eye Tracking,23.89566667,44.24933333,7.084,1.771
Facial Recognition,1153.212324,1169.057676,134.2396216,81.49037838
Multimodal,161.4411724,19.20682759,0.758689655,11.59331034
rs-fMRI,433.4575,566.7885,26.0865,27.6675
EEG,32.05238321,17.96761679,8.970339416,2.009660584
Other Modalities,144.9,57.792,16.87466667,8.433333333
rs-fMRI,161.08326,604.81674,260.44326,8.65674
EEG,23.37,87.576,10.824,1.23
Facial Recognition,528.756,527.644,28.356,27.244
Multimodal,19.971,19.929,1.071,1.029
s-MRI,38.9025,73.7685,2.2815,2.0475
s-MRI,21.66,11.4,3.8,1.14
s-MRI,89.13333333,103.4666667,3.2,4.2
EEG,9.137333333,84.94266667,3.724,0.196
Multimodal,15.22714286,13.54285714,0.742857143,0.487142857
rs-fMRI,30.39333333,14.25666667,1.41,0.94
EEG,10.77496774,4.457032258,0.446193548,0.321806452
Other Modalities,21.362,20.746,1.254,0.638
EEG,83.00243478,34.60556522,2.524869565,1.867130435
Multimodal,45.477,40.548,5.952,1.023
EEG,8.364,8.347,0.153,0.136
Multimodal,24.99,24.888,0.612,0.51
rs-fMRI,114.66,75.816,5.184,2.34
s-MRI,117.78157,32.21843003,48.32764505,1.672354949
s-MRI,106.037,105.823,1.177,0.963
EEG,173.67615,8.77485,0.37515,0.17385
EEG,59.45945946,53.82054054,6.72,0
EEG,39.92592593,36.07307407,1.001,0
EEG,20.5,19.27,1.23,0
EEG,7.048951049,5.957048951,0.994,0
Eye Tracking,19.5,19.11,0.39,0
Eye Tracking,9.333333333,18.61066667,0.056,0
Eye Tracking,16.09580838,10.59219162,5.312,0
Eye Tracking,6.233766234,23.78223377,1.984,0
Other Modalities,3.909090909,36.08090909,3.01,0
Other Modalities,14.03225806,14.97774194,0.99,0
